Accumulibacter phosphatis
Amoebophilus asiaticus
Azobacteroides pseudotrichonymphae
Baumannia cicadellinicola
Blochmannia floridanus
Blochmannia pennsylvanicus
Carsonella ruddii
Cloacamonas acidaminovorans
Desulforudis audaxviator
Hamiltonella defensa
Hodgkinia cicadicola
Korarchaeum cryptofilum
Koribacter versatilis
Liberibacter asiaticus
Liberibacter solanacearum
Nitrospira defluvii
Pelagibacter sp.
Pelagibacter ubique
Phytoplasma australiense
Phytoplasma mali
Poribacteria sp.
Protochlamydia amoebophila
Puniceispirillum marinum
Regiella insecticola
Rickettsia amblyommii
Riesia pediculicola
Ruthia magnifica
Solibacter usitatus
Sulcia muelleri
Zinderia insecticola
Abiotrophia defectiva
Acaryochloris marina
Acetivibrio cellulolyticus
Acetobacter aceti
Acetobacter pasteurianus
Acetohalobium arabaticum
Acholeplasma laidlawii
Achromobacter denitrificans
Achromobacter piechaudii
Achromobacter xylosoxidans
Acidaminococcus fermentans
Acidaminococcus sp.
Acidilobus saccharovorans
Acidimicrobium ferrooxidans
Acidiphilium cryptum
Acidiphilium multivorum
Acidithiobacillus caldus
Acidithiobacillus ferrooxidans
Acidobacterium capsulatum
Acidobacterium sp.
Acidothermus cellulolyticus
Acidovorax avenae
Acidovorax citrulli
Acidovorax delafieldii
Acidovorax ebreus
Acidovorax sp.
Aciduliprofundum boonei
Acinetobacter baumannii
Acinetobacter calcoaceticus
Acinetobacter genomosp.
Acinetobacter haemolyticus
Acinetobacter johnsonii
Acinetobacter junii
Acinetobacter lwoffii
Acinetobacter radioresistens
Acinetobacter sp.
Acinetobacter venetianus
Actinobacillus minor
Actinobacillus pleuropneumoniae
Actinobacillus succinogenes
Actinomyces coleocanis
Actinomyces odontolyticus
Actinomyces sp.
Actinomyces urogenitalis
Actinomyces viscosus
Actinosynnema mirum
Aerococcus viridans
Aeromicrobium marinum
Aeromonas bestiarum
Aeromonas caviae
Aeromonas hydrophila
Aeromonas salmonicida
Aeropyrum pernix
Afipia sp.
Aggregatibacter actinomycetemcomitans
Aggregatibacter aphrophilus
Aggregatibacter segnis
Agrobacterium rhizogenes
Agrobacterium tumefaciens
Agrobacterium vitis
Ahrensia sp.
Akkermansia muciniphila
Albidiferax ferrireducens
Alcanivorax borkumensis
Alcanivorax sp.
Algoriphagus sp.
Alicycliphilus denitrificans
Alicyclobacillus acidocaldarius
Aliivibrio fischeri
Aliivibrio salmonicida
Alistipes putredinis
Alkalilimnicola ehrlichii
Alkaliphilus metalliredigens
Alkaliphilus oremlandii
Allochromatium vinosum
Alteromonadales bacterium
Alteromonas macleodii
Aminobacterium colombiense
Aminomonas paucivorans
Ammonifex degensii
Amycolatopsis benzoatilytica
Amycolatopsis mediterranei
Anabaena azollae
Anabaena variabilis
Anaerobaculum hydrogeniformans
Anaerococcus hydrogenalis
Anaerococcus lactolyticus
Anaerococcus prevotii
Anaerococcus tetradius
Anaerococcus vaginalis
Anaerofustis stercorihominis
Anaeromyxobacter dehalogenans
Anaeromyxobacter sp.
Anaerostipes caccae
Anaerotruncus colihominis
Anaplasma centrale
Anaplasma marginale
Anoxybacillus flavithermus
Aquifex aeolicus
Arcanobacterium haemolyticum
Arcanobacterium pyogenes
Archaeoglobus fulgidus
Archaeoglobus profundus
Arcobacter butzleri
Arcobacter nitrofigilis
Aromatoleum aromaticum
Arthrobacter arilaitensis
Arthrobacter aurescens
Arthrobacter chlorophenolicus
Arthrobacter nitroguajacolicus
Arthrobacter sp.
Arthrospira maxima
Arthrospira platensis
Aster yellows
Asticcacaulis excentricus
Atopobium parvulum
Atopobium rimae
Atopobium vaginae
Aurantimonas manganoxydans
Avibacterium paragallinarum
Azoarcus sp.
Azorhizobium caulinodans
Azospirillum sp.
Azotobacter vinelandii
Bacillus amyloliquefaciens
Bacillus anthracis
Bacillus atrophaeus
Bacillus cellulosilyticus
Bacillus cereus
Bacillus clausii
Bacillus coagulans
Bacillus coahuilensis
Bacillus cytotoxicus
Bacillus halodurans
Bacillus licheniformis
Bacillus megaterium
Bacillus methanolicus
Bacillus mycoides
Bacillus pseudofirmus
Bacillus pseudomycoides
Bacillus pumilus
Bacillus selenitireducens
Bacillus sp.
Bacillus subtilis
Bacillus thuringiensis
Bacillus tusciae
Bacillus weihenstephanensis
Bacteroides caccae
Bacteroides capillosus
Bacteroides cellulosilyticus
Bacteroides coprocola
Bacteroides coprophilus
Bacteroides dorei
Bacteroides eggerthii
Bacteroides finegoldii
Bacteroides fragilis
Bacteroides intestinalis
Bacteroides ovatus
Bacteroides pectinophilus
Bacteroides plebeius
Bacteroides sp.
Bacteroides stercoris
Bacteroides thetaiotaomicron
Bacteroides uniformis
Bacteroides vulgatus
Bacteroides xylanisolvens
Bacteroidetes oral
Bartonella bacilliformis
Bartonella grahamii
Bartonella henselae
Bartonella quintana
Bartonella tribocorum
Bdellovibrio bacteriovorus
Beggiatoa sp.
Beijerinckia indica
Bermanella marisrubri
Beutenbergia cavernae
Bibersteinia trehalosi
Bifidobacterium adolescentis
Bifidobacterium angulatum
Bifidobacterium animalis
Bifidobacterium asteroides
Bifidobacterium bifidum
Bifidobacterium breve
Bifidobacterium catenulatum
Bifidobacterium dentium
Bifidobacterium gallicum
Bifidobacterium longum
Bifidobacterium pseudocatenulatum
Bifidobacterium pseudolongum
Bifidobacterium sp.
Blastopirellula marina
Blattabacterium sp.
Blautia hansenii
Blautia hydrogenotrophica
Bordetella avium
Bordetella bronchiseptica
Bordetella parapertussis
Bordetella pertussis
Bordetella petrii
Borrelia afzelii
Borrelia bavariensis
Borrelia burgdorferi
Borrelia duttonii
Borrelia garinii
Borrelia hermsii
Borrelia recurrentis
Borrelia sp.
Borrelia spielmanii
Borrelia turicatae
Borrelia valaisiana
Brachybacterium faecium
Brachyspira hyodysenteriae
Brachyspira murdochii
Brachyspira pilosicoli
Bradyrhizobium japonicum
Bradyrhizobium sp.
Brevibacillus brevis
Brevibacterium linens
Brevibacterium mcbrellneri
Brevundimonas sp.
Brevundimonas subvibrioides
Brucella abortus
Brucella canis
Brucella ceti
Brucella melitensis
Brucella microti
Brucella neotomae
Brucella ovis
Brucella pinnipedialis
Brucella sp.
Brucella suis
Buchnera aphidicola
Bulleidia extructa
Burkholderia ambifaria
Burkholderia cenocepacia
Burkholderia cepacia
Burkholderia dolosa
Burkholderia glumae
Burkholderia graminis
Burkholderia mallei
Burkholderia multivorans
Burkholderia oklahomensis
Burkholderia phymatum
Burkholderia phytofirmans
Burkholderia pseudomallei
Burkholderia rhizoxinica
Burkholderia sp.
Burkholderia thailandensis
Burkholderia ubonensis
Burkholderia vietnamiensis
Burkholderia xenovorans
Burkholderiales bacterium
Butyrivibrio crossotus
Caedibacter taeniospiralis
Caldanaerobacter subterraneus
Caldicellulosiruptor bescii
Caldicellulosiruptor hydrothermalis
Caldicellulosiruptor kristjanssonii
Caldicellulosiruptor kronotskyensis
Caldicellulosiruptor lactoaceticus
Caldicellulosiruptor obsidiansis
Caldicellulosiruptor owensensis
Caldicellulosiruptor saccharolyticus
Calditerrivibrio nitroreducens
Caldivirga maquilingensis
Calyptogena okutanii
Caminibacter mediatlanticus
Campylobacter coli
Campylobacter concisus
Campylobacter curvus
Campylobacter fetus
Campylobacter gracilis
Campylobacter hominis
Campylobacter jejuni
Campylobacter lari
Campylobacter rectus
Campylobacter showae
Campylobacter upsaliensis
Campylobacterales bacterium
Capnocytophaga canimorsus
Capnocytophaga gingivalis
Capnocytophaga ochracea
Capnocytophaga sputigena
Carboxydothermus hydrogenoformans
Cardiobacterium hominis
Carnobacterium sp.
Catenibacterium mitsuokai
Catenulispora acidiphila
Catonella morbi
Caulobacter segnis
Caulobacter sp.
Caulobacter vibrioides
Cellulomonas flavigena
Cellvibrio japonicus
Cenarchaeum symbiosum
Chelativorans sp.
Chitinophaga pinensis
Chlamydia muridarum
Chlamydia trachomatis
Chlamydophila abortus
Chlamydophila caviae
Chlamydophila felis
Chlamydophila pneumoniae
Chlamydophila psittaci
Chlorobaculum parvum
Chlorobaculum tepidum
Chlorobium chlorochromatii
Chlorobium ferrooxidans
Chlorobium limicola
Chlorobium phaeobacteroides
Chlorobium phaeovibrioides
Chloroflexus aggregans
Chloroflexus aurantiacus
Chloroflexus sp.
Chloroherpeton thalassium
Chromobacterium violaceum
Chromohalobacter salexigens
Chryseobacterium gleum
Chthoniobacter flavus
Citreicella sp.
Citrobacter freundii
Citrobacter koseri
Citrobacter rodentium
Citrobacter sp.
Citrobacter youngae
Citromicrobium bathyomarinum
Clavibacter michiganensis
Clostridiales bacterium
Clostridiales genomosp.
Clostridium acetobutylicum
Clostridium asparagiforme
Clostridium bartlettii
Clostridium beijerinckii
Clostridium bolteae
Clostridium botulinum
Clostridium butyricum
Clostridium carboxidivorans
Clostridium cellulolyticum
Clostridium cellulovorans
Clostridium difficile
Clostridium hathewayi
Clostridium hiranonis
Clostridium hylemonae
Clostridium kluyveri
Clostridium lentocellum
Clostridium leptum
Clostridium ljungdahlii
Clostridium methylpentosum
Clostridium nexile
Clostridium novyi
Clostridium papyrosolvens
Clostridium perfringens
Clostridium phytofermentans
Clostridium proteoclasticum
Clostridium ramosum
Clostridium saccharolyticum
Clostridium scindens
Clostridium sp.
Clostridium spiroforme
Clostridium sporogenes
Clostridium sticklandii
