species	OTU
FP929003-1384637-1386163-Bacteria-Nitrospirota-Nitrospiria-Nitrospirales-Nitrospiraceae-Nitrospira-Nitrospira-defluvii	otu1
AJ237903-1-1471-Bacteria-Nitrospirota-Leptospirillia-Leptospirillales-Leptospirillaceae-Leptospirillum-Leptospirillum-ferrooxidans	otu2
FJ154577-1-1420-Bacteria-Spirochaetota-Leptospirae-Leptospirales-Leptospiraceae-Leptospira-Leptospira-biflexa-serovar-Andamana	otu3
FJ154595-1-1366-Bacteria-Spirochaetota-Leptospirae-Leptospirales-Leptospiraceae-Leptospira-Leptospira-borgpetersenii-serovar-Tarassovi	otu4
FJ154555-1-1340-Bacteria-Spirochaetota-Leptospirae-Leptospirales-Leptospiraceae-Leptospira-Leptospira-interrogans-serovar-Icterohaemorrhagiae	otu5
AY214600-8948-10463-Bacteria-Acidobacteriota-Subgroup-5-uncultured-Acidobacterium-sp-	otu6
AY234728-1-1358-Bacteria-Acidobacteriota-Acidobacteriae-Solibacterales-Solibacteraceae-Candidatus-Solibacter-Candidatus-Solibacter-usitatus-Ellin6076	otu7
CP000360-5260068-5261561-Bacteria-Acidobacteriota-Acidobacteriae-Acidobacteriales-Koribacteraceae-Candidatus-Koribacter-Candidatus-Koribacter-versatilis-Ellin345	otu8
AB561885-1-1461-Bacteria-Acidobacteriota-Acidobacteriae-Acidobacteriales-Acidobacteriaceae-Subgroup-1-Acidobacterium-Acidobacterium-capsulatum	otu9
HM214538-1-1492-Bacteria-Acidobacteriota-Acidobacteriae-Acidobacteriales-Acidobacteriaceae-Subgroup-1-Terriglobus-Terriglobus-saanensis	otu10
HQ428099-1-1438-Bacteria-Firmicutes-Bacilli-Erysipelotrichales-Erysipelotrichaceae-Turicibacter-Turicibacter-sanguinis	otu11
HM103935-1-1420-Bacteria-Firmicutes-Bacilli-Staphylococcales-Gemellaceae-Gemella-Gemella-haemolysans	otu12
JN852815-1-1414-Bacteria-Firmicutes-Bacilli-Lactobacillales-Listeriaceae-Listeria-Listeria-grayi	otu13
X98532-1-1417-Bacteria-Firmicutes-Bacilli-Lactobacillales-Listeriaceae-Listeria-Listeria-welshimeri	otu14
AJ535698-1-1405-Bacteria-Firmicutes-Bacilli-Lactobacillales-Listeriaceae-Listeria-Listeria-seeligeri	otu15
EU545981-1-1394-Bacteria-Firmicutes-Bacilli-Lactobacillales-Listeriaceae-Listeria-Listeria-marthii	otu16
AX413018-53410-54940-Bacteria-Firmicutes-Bacilli-Lactobacillales-Listeriaceae-Listeria-Listeria-innocua	otu17
AX416900-1204-2734-Bacteria-Firmicutes-Bacilli-Lactobacillales-Listeriaceae-Listeria-Listeria-monocytogenes-ATCC-19115	otu18
X56151-1-1491-Bacteria-Firmicutes-Bacilli-Lactobacillales-Listeriaceae-Listeria-Listeria-ivanovii	otu19
MF375879-1-1537-Bacteria-Firmicutes-Bacilli-Bacillales-Bacillaceae-Oceanobacillus-Oceanobacillus-iheyensis	otu20
JN089719-1-1418-Bacteria-Firmicutes-Bacilli-Bacillales-Planococcaceae-Planococcus-Planococcus-sp-O5	otu21
AB017538-1-1472-Bacteria-Firmicutes-Bacilli-Bacillales-Planococcaceae-Renibacterium-salmoninarum-group-Renibacterium-salmoninarum	otu22
KY631539-1-1373-Bacteria-Firmicutes-Bacilli-Bacillales-Planococcaceae-Lysinibacillus-Lysinibacillus-fusiformis	otu23
KU229981-1-1471-Bacteria-Firmicutes-Bacilli-Bacillales-Planococcaceae-Lysinibacillus-Lysinibacillus-sphaericus	otu24
MF425371-1-1398-Bacteria-Firmicutes-Bacilli-Staphylococcales-Staphylococcaceae-Macrococcus-Macrococcus-caseolyticus	otu25
JN195793-1-1367-Bacteria-Firmicutes-Bacilli-Staphylococcales-Staphylococcaceae-Staphylococcus-Staphylococcus-sciuri	otu26
KY622428-1-1291-Bacteria-Firmicutes-Bacilli-Staphylococcales-Staphylococcaceae-Staphylococcus-Staphylococcus-hominis	otu27
JN084161-1-1416-Bacteria-Firmicutes-Bacilli-Staphylococcales-Staphylococcaceae-Staphylococcus-Staphylococcus-haemolyticus	otu28
KY630670-1-1437-Bacteria-Firmicutes-Bacilli-Staphylococcales-Staphylococcaceae-Staphylococcus-Staphylococcus-lugdunensis	otu29
JN175356-1-1432-Bacteria-Firmicutes-Bacilli-Staphylococcales-Staphylococcaceae-Staphylococcus-Staphylococcus-saprophyticus	otu30
JN084553-1-1427-Bacteria-Firmicutes-Bacilli-Staphylococcales-Staphylococcaceae-Staphylococcus-Staphylococcus-aureus	otu31
KU229989-1-1292-Bacteria-Firmicutes-Bacilli-Staphylococcales-Staphylococcaceae-Staphylococcus-Staphylococcus-sp-CAWR12A	otu32
JN084145-1-1400-Bacteria-Firmicutes-Bacilli-Staphylococcales-Staphylococcaceae-Staphylococcus-Staphylococcus-epidermidis	otu33
JN175379-1-1420-Bacteria-Firmicutes-Bacilli-Staphylococcales-Staphylococcaceae-Staphylococcus-Staphylococcus-caprae	otu34
AB009937-1-1492-Bacteria-Firmicutes-Bacilli-Staphylococcales-Staphylococcaceae-Staphylococcus-Staphylococcus-capitis-subsp-urealyticus	otu35
KU220864-1-1227-Bacteria-Firmicutes-Bacilli-Staphylococcales-Staphylococcaceae-Staphylococcus-Staphylococcus-warneri	otu36
KJ847239-1-1423-Bacteria-Firmicutes-Bacilli-Staphylococcales-Staphylococcaceae-Staphylococcus-Staphylococcus-simulans	otu37
AB009934-1-1493-Bacteria-Firmicutes-Bacilli-Staphylococcales-Staphylococcaceae-Staphylococcus-Staphylococcus-carnosus	otu38
JN426805-1-1515-Bacteria-Firmicutes-Bacilli-Staphylococcales-Staphylococcaceae-Staphylococcus-Staphylococcus-chromogenes	otu39
EF014447-1-1449-Bacteria-Firmicutes-Bacilli-Bacillales-Bacillaceae-Bacillus-Bacillus-coahuilensis	otu40
KY649369-1-1406-Bacteria-Firmicutes-Bacilli-Bacillales-Bacillaceae-Bacillus-Bacillus-anthracis	otu41
